region,Medal,Total
Afghanistan,Gold,0
Algeria,Gold,2
Argentina,Gold,8
Armenia,Gold,1
Australia,Gold,62
Austria,Gold,4
Azerbaijan,Gold,7
Bahamas,Gold,5
Bahrain,Gold,1
Barbados,Gold,0
Belarus,Gold,12
Belgium,Gold,4
Botswana,Gold,0
Brazil,Gold,18
Bulgaria,Gold,8
Burundi,Gold,0
Cameroon,Gold,3
Canada,Gold,14
Chile,Gold,2
China,Gold,175
Colombia,Gold,5
Costa Rica,Gold,0
Croatia,Gold,10
Cuba,Gold,32
Cyprus,Gold,0
Czech Republic,Gold,11
Denmark,Gold,10
Dominican Republic,Gold,3
Ecuador,Gold,0
Egypt,Gold,1
Eritrea,Gold,0
Estonia,Gold,2
Ethiopia,Gold,14
Fiji,Gold,1
Finland,Gold,3
France,Gold,52
Gabon,Gold,0
Georgia,Gold,8
Germany,Gold,70
Greece,Gold,13
Grenada,Gold,1
Guatemala,Gold,0
Hungary,Gold,35
Iceland,Gold,0
India,Gold,1
Individual Olympic Athletes,Gold,1
Indonesia,Gold,4
Iran,Gold,13
Ireland,Gold,1
Israel,Gold,1
Italy,Gold,47
Ivory Coast,Gold,1
Jamaica,Gold,17
Japan,Gold,49
Jordan,Gold,1
Kazakhstan,Gold,16
Kenya,Gold,17
Kosovo,Gold,1
Kuwait,Gold,0
Kyrgyzstan,Gold,0
Latvia,Gold,3
Lithuania,Gold,5
Macedonia,Gold,0
Malaysia,Gold,0
Mauritius,Gold,0
Mexico,Gold,4
Moldova,Gold,0
Mongolia,Gold,2
Montenegro,Gold,0
Morocco,Gold,2
Mozambique,Gold,1
Netherlands,Gold,37
New Zealand,Gold,17
Niger,Gold,0
Nigeria,Gold,1
North Korea,Gold,8
Norway,Gold,14
Panama,Gold,1
Paraguay,Gold,0
Philippines,Gold,0
Poland,Gold,16
Portugal,Gold,1
Puerto Rico,Gold,1
Qatar,Gold,0
Romania,Gold,26
Russia,Gold,126
Saudi Arabia,Gold,0
Serbia,Gold,4
Slovakia,Gold,8
Slovenia,Gold,5
South Africa,Gold,6
South Korea,Gold,52
Spain,Gold,21
Sri Lanka,Gold,0
Sudan,Gold,0
Sweden,Gold,11
Switzerland,Gold,9
Syria,Gold,0
Taiwan,Gold,3
Tajikistan,Gold,1
Thailand,Gold,8
Togo,Gold,0
Trinidad,Gold,2
Tunisia,Gold,2
Turkey,Gold,10
UK,Gold,95
USA,Gold,200
Uganda,Gold,1
Ukraine,Gold,26
United Arab Emirates,Gold,1
Uruguay,Gold,0
Uzbekistan,Gold,9
Venezuela,Gold,1
Vietnam,Gold,1
Zimbabwe,Gold,2
Afghanistan,Silver,0
Algeria,Silver,4
Argentina,Silver,4
Armenia,Silver,4
Australia,Silver,83
Austria,Silver,6
Azerbaijan,Silver,11
Bahamas,Silver,1
Bahrain,Silver,1
Barbados,Silver,0
Belarus,Silver,22
Belgium,Silver,6
Botswana,Silver,1
Brazil,Silver,23
Bulgaria,Silver,10
Burundi,Silver,1
Cameroon,Silver,0
Canada,Silver,26
Chile,Silver,1
China,Silver,100
Colombia,Silver,6
Costa Rica,Silver,0
Croatia,Silver,8
Cuba,Silver,34
Cyprus,Silver,1
Czech Republic,Silver,14
Denmark,Silver,16
Dominican Republic,Silver,2
Ecuador,Silver,1
Egypt,Silver,3
Eritrea,Silver,0
Estonia,Silver,3
Ethiopia,Silver,8
Fiji,Silver,0
Finland,Silver,5
France,Silver,68
Gabon,Silver,1
Georgia,Silver,6
Germany,Silver,72
Greece,Silver,15
Grenada,Silver,1
Guatemala,Silver,1
Hungary,Silver,24
Iceland,Silver,1
India,Silver,4
Individual Olympic Athletes,Silver,0
Indonesia,Silver,8
Iran,Silver,8
Ireland,Silver,5
Israel,Silver,0
Italy,Silver,49
Ivory Coast,Silver,0
Jamaica,Silver,16
Japan,Silver,46
Jordan,Silver,0
Kazakhstan,Silver,18
Kenya,Silver,21
Kosovo,Silver,0
Kuwait,Silver,0
Kyrgyzstan,Silver,1
Latvia,Silver,6
Lithuania,Silver,6
Macedonia,Silver,0
Malaysia,Silver,6
Mauritius,Silver,0
Mexico,Silver,11
Moldova,Silver,1
Mongolia,Silver,5
Montenegro,Silver,1
Morocco,Silver,3
Mozambique,Silver,0
Netherlands,Silver,36
New Zealand,Silver,15
Niger,Silver,1
Nigeria,Silver,3
North Korea,Silver,9
Norway,Silver,9
Panama,Silver,0
Paraguay,Silver,1
Philippines,Silver,1
Poland,Silver,18
Portugal,Silver,4
Puerto Rico,Silver,1
Qatar,Silver,1
Romania,Silver,18
Russia,Silver,118
Saudi Arabia,Silver,1
Serbia,Silver,9
Slovakia,Silver,10
Slovenia,Silver,6
South Africa,Silver,14
South Korea,Silver,43
Spain,Silver,38
Sri Lanka,Silver,1
Sudan,Silver,1
Sweden,Silver,21
Switzerland,Silver,12
Syria,Silver,0
Taiwan,Silver,4
Tajikistan,Silver,1
Thailand,Silver,7
Togo,Silver,0
Trinidad,Silver,3
Tunisia,Silver,1
Turkey,Silver,11
UK,Silver,72
USA,Silver,167
Uganda,Silver,0
Ukraine,Silver,30
United Arab Emirates,Silver,0
Uruguay,Silver,1
Uzbekistan,Silver,6
Venezuela,Silver,1
Vietnam,Silver,3
Zimbabwe,Silver,4
Afghanistan,Bronze,2
Algeria,Bronze,4
Argentina,Bronze,12
Armenia,Bronze,9
Australia,Bronze,73
Austria,Bronze,4
Azerbaijan,Bronze,25
Bahamas,Bronze,4
Bahrain,Bronze,1
Barbados,Bronze,1
Belarus,Bronze,35
Belgium,Bronze,9
Botswana,Bronze,0
Brazil,Bronze,33
Bulgaria,Bronze,17
Burundi,Bronze,0
Cameroon,Bronze,0
Canada,Bronze,45
Chile,Bronze,2
China,Bronze,106
Colombia,Bronze,10
Costa Rica,Bronze,2
Croatia,Bronze,10
Cuba,Bronze,39
Cyprus,Bronze,0
Czech Republic,Bronze,18
Denmark,Bronze,19
Dominican Republic,Bronze,1
Ecuador,Bronze,0
Egypt,Bronze,7
Eritrea,Bronze,1
Estonia,Bronze,6
Ethiopia,Bronze,15
Fiji,Bronze,0
Finland,Bronze,6
France,Bronze,69
Gabon,Bronze,0
Georgia,Bronze,16
Germany,Bronze,90
Greece,Bronze,13
Grenada,Bronze,0
Guatemala,Bronze,0
Hungary,Bronze,18
Iceland,Bronze,1
India,Bronze,8
Individual Olympic Athletes,Bronze,1
Indonesia,Bronze,8
Iran,Bronze,11
Ireland,Bronze,5
Israel,Bronze,5
Italy,Bronze,53
Ivory Coast,Bronze,1
Jamaica,Bronze,13
Japan,Bronze,64
Jordan,Bronze,0
Kazakhstan,Bronze,25
Kenya,Bronze,15
Kosovo,Bronze,0
Kuwait,Bronze,2
Kyrgyzstan,Bronze,2
Latvia,Bronze,3
Lithuania,Bronze,11
Macedonia,Bronze,1
Malaysia,Bronze,2
Mauritius,Bronze,1
Mexico,Bronze,10
Moldova,Bronze,4
Mongolia,Bronze,5
Montenegro,Bronze,0
Morocco,Bronze,7
Mozambique,Bronze,0
Netherlands,Bronze,29
New Zealand,Bronze,17
Niger,Bronze,0
Nigeria,Bronze,6
North Korea,Bronze,11
Norway,Bronze,10
Panama,Bronze,0
Paraguay,Bronze,0
Philippines,Bronze,0
Poland,Bronze,21
Portugal,Bronze,4
Puerto Rico,Bronze,1
Qatar,Bronze,3
Romania,Bronze,22
Russia,Bronze,145
Saudi Arabia,Bronze,2
Serbia,Bronze,7
Slovakia,Bronze,7
Slovenia,Bronze,8
South Africa,Bronze,8
South Korea,Bronze,43
Spain,Bronze,24
Sri Lanka,Bronze,0
Sudan,Bronze,0
Sweden,Bronze,11
Switzerland,Bronze,11
Syria,Bronze,1
Taiwan,Bronze,12
Tajikistan,Bronze,2
Thailand,Bronze,9
Togo,Bronze,1
Trinidad,Bronze,5
Tunisia,Bronze,4
Turkey,Bronze,15
UK,Bronze,71
USA,Bronze,159
Uganda,Bronze,0
Ukraine,Bronze,47
United Arab Emirates,Bronze,1
Uruguay,Bronze,0
Uzbekistan,Bronze,16
Venezuela,Bronze,5
Vietnam,Bronze,0
Zimbabwe,Bronze,1
